0,1,2,3,4
指标,12月,12月,1—12月,1—12月
指标,绝对量,同比增长 （%）,绝对量,同比增长 （%）
规模以上工业增加值,…,6.2,…,5.8
分三大门类,,,,
采矿业,…,2.4,…,3.1
制造业,…,7.4,…,6.1
其中：高技术制造业,…,7.9,…,8.9
电力、热力、燃气及水生产和供应业,…,1.1,…,5.3
分经济类型,,,,
其中：国有控股企业,…,3.1,…,4.2
其中：股份制企业,…,6.5,…,6.1
外商及港澳台投资企业,…,5.6,…,4.0
其中：私营企业,…,5.7,…,5.3
主要行业增加值,,,,
煤炭开采和洗选业,…,2.7,…,2.6
石油和天然气开采业,…,2.2,…,3.3
农副食品加工业,…,6.1,…,2.2
食品制造业,…,8.4,…,5.8
酒、饮料和精制茶制造业,…,3.6,…,4.8
纺织业,…,4.6,…,5.1
化学原料和化学制品制造业,…,9.4,…,8.9
医药制造业,…,2.8,…,3.6
橡胶和塑料制品业,…,9.7,…,8.3
非金属矿物制品业,…,-0.1,…,-1.4
黑色金属冶炼和压延加工业,…,8.7,…,4.0
有色金属冶炼和压延加工业,…,9.7,…,9.7
金属制品业,…,7.9,…,7.0
通用设备制造业,…,7.7,…,3.6
专用设备制造业,…,4.6,…,2.8
汽车制造业,…,17.7,…,9.1
铁路、船舶、航空航天和其他运输设备制造业,…,10.6,…,10.9
电气机械和器材制造业,…,9.2,…,5.1
计算机、通信和其他电子设备制造业,…,8.7,…,11.8
电力、热力生产和供应业,…,1.2,…,5.2
规模以上工业主要产品产量,,,,
布（亿米）,29,2.8,306,2.2
硫酸（折100％）（万吨）,946,2.1,10370,6.9
烧碱（折100％）（万吨）,393,5.2,4366,5.5
乙烯（万吨）,312,3.8,3493,0.7
化学纤维（万吨）,697,5.5,7911,9.7
水泥（万吨）,15512,-2.0,182524,-9.5
平板玻璃（万重量箱）,8396,-1.1,100042,2.9
生铁（万吨）,6670,9.4,85174,-2.3
粗钢（万吨）,7597,11.8,100509,-1.7
钢材（万吨）,11910,7.1,139967,1.1
十种有色金属（万吨）,690,3.2,7919,4.3
其中：原铝（电解铝）（万吨）,377,4.2,4401,4.6
金属切削机床（万台）,8,35.0,70,10.5
工业机器人（套）,71382,36.7,556369,14.2
汽车（万辆）,349.9,15.2,3155.9,4.8
其中：轿车（万辆）,118.9,5.0,1106.2,0.1
运动型多用途乘用车（SUV）（万辆）,154.0,24.6,1358.2,10.3
其中：新能源汽车（万辆）,164.7,43.2,1316.8,38.7
发电机组（发电设备）（万千瓦）,4226,17.9,28434,16.0
太阳能电池（光伏电池）（万千瓦）,6700,20.7,68495,15.7
微型计算机设备（万台）,3380,8.9,33913,2.7
移动通信手持机（万台）,16617,-1.0,166953,7.8
其中：智能手机（万台）,12977,-1.0,124666,8.2
集成电路（亿块）,428,12.5,4514,22.2
原煤（万吨）,43885,4.2,475896,1.3
焦炭（万吨）,4148,0.2,48927,-0.8
原油（万吨）,1790,1.4,21282,1.8
原油加工量（万吨）,5935,0.6,70843,-1.6
天然气（亿立方米）,218,3.6,2464,6.2
规模以上工业发电量（亿千瓦时）,8462,0.6,94181,4.6
火力发电量（亿千瓦时）,5975,-2.6,63438,1.5
水力发电量（亿千瓦时）,827,5.5,12742,10.7
核能发电量（亿千瓦时）,424,11.4,4449,2.7
风力发电量（亿千瓦时）,921,6.6,9360,11.1
太阳能发电量（亿千瓦时）,315,28.5,4191,28.2
产品销售率（%）,98.7,0.1 (百分点),96.7,-0.5 (百分点)
出口交货值（亿元）,14394,8.8,154338,5.1
