0,1
指　标,比上年增长（%）
固定资产投资（不含农户）,3.2
其中：国有控股,5.7
其中：民间投资,-0.1
按构成分,
建筑安装工程,3.5
设备工器具购置,15.7
其他费用,-4.2
分产业,
第一产业,2.6
第二产业,12.0
第三产业,-1.1
分行业,
农林牧渔业,6.4
采矿业,10.5
制造业,9.2
其中：农副食品加工业,18.0
食品制造业,22.9
纺织业,15.6
化学原料和化学制品制造业,8.6
医药制造业,6.9
有色金属冶炼和压延加工业,24.2
金属制品业,16.6
通用设备制造业,15.5
专用设备制造业,11.6
汽车制造业,7.5
铁路、船舶、航空航天和其他运输设备制造业,34.9
电气机械和器材制造业,-3.9
计算机、通信和其他电子设备制造业,12.0
电力、热力、燃气及水生产和供应业,23.9
交通运输、仓储和邮政业,5.9
其中：铁路运输业,13.5
道路运输业,-1.1
水利、环境和公共设施管理业,4.2
其中：水利管理业,41.7
公共设施管理业,-3.1
教育,1.3
卫生和社会工作,-9.4
文化、体育和娱乐业,0.0
分注册类型,
其中：内资企业,2.9
港澳台投资企业,4.2
外商投资企业,-10.0
注：此表中速度均未扣除价格因素。,注：此表中速度均未扣除价格因素。
