0,1,2,3,4
,绝对额（亿元）,绝对额（亿元）,比上年同期增长（%）,比上年同期增长（%）
,四季度,全年,四季度,全年
GDP,373726,1349084,5.4,5.0
第一产业,34050,91414,3.7,3.5
第二产业,135595,492087,5.2,5.3
第三产业,204081,765583,5.8,5.0
,,,,
农林牧渔业,35933,96613,3.9,3.7
工业,108260,405442,5.8,5.7
#制造业,89825,335507,6.2,6.0
建筑业,28346,89949,3.4,3.8
批发和零售业,38337,137981,5.7,5.5
交通运输、仓储和邮政业,15225,59232,7.9,7.0
住宿和餐饮业,7345,24729,6.6,6.4
金融业,24203,98544,6.5,5.6
房地产业,22185,84565,2.0,-1.8
信息传输、软件和信息技术服务业,15708,63438,9.6,10.9
租赁和商务服务业,17111,56576,11.0,10.4
其他行业,61073,232014,3.8,3.4
注： 1.绝对额按现价计算，增长速度按不变价计算； 2.三次产业分类依据国家统计局2018年修订的《三次产业划分规定》； 3.行业分类采用《国民经济行业分类（GB/T 4754－2017）》； 4.本表GDP总量数据中，有的不等于各产业（行业）之和，是由于数值修约误差所致，未作机械调整。,注： 1.绝对额按现价计算，增长速度按不变价计算； 2.三次产业分类依据国家统计局2018年修订的《三次产业划分规定》； 3.行业分类采用《国民经济行业分类（GB/T 4754－2017）》； 4.本表GDP总量数据中，有的不等于各产业（行业）之和，是由于数值修约误差所致，未作机械调整。,注： 1.绝对额按现价计算，增长速度按不变价计算； 2.三次产业分类依据国家统计局2018年修订的《三次产业划分规定》； 3.行业分类采用《国民经济行业分类（GB/T 4754－2017）》； 4.本表GDP总量数据中，有的不等于各产业（行业）之和，是由于数值修约误差所致，未作机械调整。,注： 1.绝对额按现价计算，增长速度按不变价计算； 2.三次产业分类依据国家统计局2018年修订的《三次产业划分规定》； 3.行业分类采用《国民经济行业分类（GB/T 4754－2017）》； 4.本表GDP总量数据中，有的不等于各产业（行业）之和，是由于数值修约误差所致，未作机械调整。,注： 1.绝对额按现价计算，增长速度按不变价计算； 2.三次产业分类依据国家统计局2018年修订的《三次产业划分规定》； 3.行业分类采用《国民经济行业分类（GB/T 4754－2017）》； 4.本表GDP总量数据中，有的不等于各产业（行业）之和，是由于数值修约误差所致，未作机械调整。
