0,1
指　标,同比增长（%）
固定资产投资（不含农户）,4.1
其中：国有控股,7.0
其中：民间投资,0.0
按构成分,
建筑安装工程,1.1
设备工器具购置,18.0
其他费用,3.6
分产业,
第一产业,12.2
第二产业,11.4
第三产业,0.7
分行业,
农林牧渔业,14.0
采矿业,4.7
制造业,9.0
其中：农副食品加工业,17.4
食品制造业,21.0
纺织业,13.6
化学原料和化学制品制造业,6.0
医药制造业,3.5
有色金属冶炼和压延加工业,16.1
金属制品业,10.8
通用设备制造业,21.6
专用设备制造业,9.0
汽车制造业,27.0
铁路、船舶、航空航天和其他运输设备制造业,37.3
电气机械和器材制造业,-8.6
计算机、通信和其他电子设备制造业,9.6
电力、热力、燃气及水生产和供应业,25.4
交通运输、仓储和邮政业,2.7
其中：铁路运输业,0.2
道路运输业,-3.2
水利、环境和公共设施管理业,8.5
其中：水利管理业,39.1
公共设施管理业,2.6
教育,1.4
卫生和社会工作,-4.3
文化、体育和娱乐业,7.6
分注册类型,
其中：内资企业,4.0
港澳台投资企业,10.1
外商投资企业,-10.0
注：此表中速度均未扣除价格因素。,注：此表中速度均未扣除价格因素。
