0,1,2,3,4,5,6,7,8
分　组,营业收入 利润率,每百元营业 收入中的 成本,每百元营业 收入中的 费用,每百元资产实现的 营业收入,人均营业 收入,资产负债率,产成品 存货 周转天数,应收账款 平均回收期
分　组,1-2月,1-2月,1-2月,2月末,2月末,2月末,2月末,2月末
分　组,(%),(元),(元),(元),(万元/人),(%),(天),(天)
总计,4.53,85.11,8.56,67.6,166.9,57.4,22.3,74.9
其中：采矿业,17.48,67.80,9.83,34.3,123.5,56.8,16.5,60.0
制造业,3.72,85.32,8.97,78.0,158.7,56.8,25.3,77.3
电力、热力、燃气及水生产和供应业,6.18,90.02,4.75,39.7,374.4,60.4,1.1,61.0
其中：国有控股企业,6.03,81.90,5.89,53.0,294.1,57.2,13.3,55.6
其中：股份制企业,4.19,85.25,8.44,66.0,165.4,58.5,22.7,72.8
外商及港澳台投资企业,5.95,84.50,9.14,75.0,176.7,52.4,20.8,83.8
其中：私营企业,3.07,86.88,10.10,84.6,123.1,59.0,27.7,78.3
