0,1,2
指　标,1—2月,1—2月
指　标,绝对量 （亿元）,同比增长（%）
社会消费品零售总额,83731,4.0
其中：除汽车以外的消费品零售额,76838,4.8
其中：限额以上单位消费品零售额,31953,4.3
其中：实物商品网上零售额,18633,5.0
按经营地分,,
城镇,72462,3.8
乡村,11269,4.6
按消费类型分,,
餐饮收入,9792,4.3
其中：限额以上单位餐饮收入,2619,3.6
商品零售额,73939,3.9
其中：限额以上单位商品零售额,29334,4.4
其中：粮油、食品类,4229,11.5
饮料类,539,-2.6
烟酒类,1364,5.5
服装、鞋帽、针纺织品类,2624,3.3
化妆品类,720,4.4
金银珠宝类,755,5.4
日用品类,1386,5.7
体育、娱乐用品类,247,25.0
家用电器和音像器材类,1537,10.9
中西药品类,1176,2.5
文化办公用品类,676,21.8
家具类,262,11.7
通讯器材类,1594,26.2
石油及制品类,4019,0.9
汽车类,6893,-4.4
建筑及装潢材料类,246,0.1
注：此表数据均为未扣除价格因素的名义增速。,注：此表数据均为未扣除价格因素的名义增速。,注：此表数据均为未扣除价格因素的名义增速。
