0,1,2,3,4,5,6
分　组,营业收入,营业收入,营业成本,营业成本,利润总额,利润总额
分　组,金额 (亿元),同比增长 (%),金额 (亿元),同比增长 (%),金额 (亿元),同比增长 (%)
总计,321395.9,3.4,274389.4,3.6,15093.6,0.8
其中：采矿业,12659.0,-11.2,8610.2,-8.0,2204.4,-25.5
制造业,276733.1,4.6,237136.5,4.6,10826.4,7.6
电力、热力、燃气及水生产和供应业,32003.8,-0.3,28642.7,-1.0,2062.8,5.4
其中：国有控股企业,90016.3,-0.2,74441.4,0.0,5599.5,-1.4
其中：股份制企业,257616.2,3.8,220601.1,4.1,11101.5,0.1
外商及港澳台投资企业,61735.9,1.6,52051.6,1.5,3883.5,2.8
其中：私营企业,116227.8,3.5,101030.4,3.5,3709.7,-0.3
注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。
