0,1,2,3,4,5,6
分　组,营业收入,营业收入,营业成本,营业成本,利润总额,利润总额
分　组,金额 (亿元),同比增长 (%),金额 (亿元),同比增长 (%),金额 (亿元),同比增长 (%)
总计,547596.2,2.7,468815.0,3.0,27204.3,-1.1
其中：采矿业,21164.0,-11.9,14521.5,-7.8,3580.4,-29.0
制造业,475390.8,3.8,408832.6,3.9,20201.4,5.4
电力、热力、燃气及水生产和供应业,51041.4,0.0,45461.0,-0.6,3422.5,3.7
其中：国有控股企业,147663.3,-1.0,123630.6,-0.4,8709.5,-7.4
其中：股份制企业,440622.2,3.3,378764.4,3.7,20170.7,-1.5
外商及港澳台投资企业,103576.8,0.6,87146.3,0.4,6856.8,0.3
其中：私营企业,201856.9,3.3,175268.6,3.2,7592.5,3.4
注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。
