0,1,2,3,4,5,6
单位：%,单位：%,单位：%,单位：%,单位：%,单位：%,单位：%
,PMI,,,,,
,PMI,生产,新订单,原材料 库存,从业人员,供应商 配送时间
2024年2月,49.1,49.8,49.0,47.4,47.5,48.8
2024年3月,50.8,52.2,53.0,48.1,48.1,50.6
2024年4月,50.4,52.9,51.1,48.1,48.0,50.4
2024年5月,49.5,50.8,49.6,47.8,48.1,50.1
2024年6月,49.5,50.6,49.5,47.6,48.1,49.5
2024年7月,49.4,50.1,49.3,47.8,48.3,49.3
2024年8月,49.1,49.8,48.9,47.6,48.1,49.6
2024年9月,49.8,51.2,49.9,47.7,48.2,49.5
2024年10月,50.1,52.0,50.0,48.2,48.4,49.6
2024年11月,50.3,52.4,50.8,48.2,48.2,50.2
2024年12月,50.1,52.1,51.0,48.3,48.1,50.9
2025年1月,49.1,49.8,49.2,47.7,48.1,50.3
2025年2月,50.2,52.5,51.1,47.0,48.6,51.0
