Unnamed: 0_level_0,环比涨跌幅 （%）,同比涨跌幅 （%）,1—2月 同比涨跌幅（%）
居民消费价格,-0.2,-0.7,-0.1
其中：城市,-0.2,-0.7,-0.1
农村,-0.1,-0.7,-0.2
其中：食品,-0.5,-3.3,-1.5
非食品,-0.1,-0.1,0.2
其中：消费品,0.0,-0.9,-0.4
服务,-0.5,-0.4,0.3
其中：不包括食品和能源,-0.2,-0.1,0.3
按类别分,Unnamed: 1_level_9,Unnamed: 2_level_9,Unnamed: 3_level_9
一、食品烟酒,-0.2,-1.9,-0.7
粮 食,0.0,-1.3,-1.4
食 用 油,0.0,-2.0,-2.2
鲜 菜,-3.8,-12.6,-5.5
畜 肉 类,-0.9,-1.8,0.4
其中：猪 肉,-1.9,4.1,8.8
牛 肉,-0.6,-13.3,-13.2
羊 肉,0.2,-6.6,-6.1
水 产 品,1.2,-3.6,-1.3
蛋 类,-5.5,-2.7,-1.0
奶 类,-0.1,-1.4,-1.6
鲜 果,1.8,-1.8,-0.6
卷 烟,0.0,0.4,0.4
酒 类,-0.3,-1.9,-2.2
二、衣着,-0.1,1.2,1.1
服 装,-0.1,1.4,1.3
鞋 类,0.1,0.3,0.2
三、居住,0.0,0.1,0.1
租赁房房租,0.1,-0.2,-0.2
水电燃料,-0.1,0.3,0.4
四、生活用品及服务,-0.1,-0.7,-0.9
家用器具,0.2,-3.3,-3.4
家庭服务,-4.4,1.8,3.2
五、交通通信,-0.4,-2.5,-1.6
交通工具,-0.2,-4.4,-4.2
交通工具用燃料,1.3,-1.2,-0.9
交通工具使用和维修,-0.6,-2.0,-0.4
通信工具,-0.4,1.3,0.9
通信服务,0.0,0.0,0.0
邮递服务,-1.5,-0.5,0.2
六、教育文化娱乐,-0.5,-0.5,0.6
教育服务,0.0,1.3,1.3
旅 游,-4.4,-9.6,-1.9
七、医疗保健,0.0,0.2,0.4
中 药,-0.1,0.5,0.6
西 药,-0.1,-1.1,-1.1
医疗服务,0.0,0.6,0.9
八、其他用品及服务,0.7,6.5,5.9
