产品名称,单位,本期价格（元）,比上期 价格涨跌（元）,涨跌幅(%)
一、黑色金属,,,,
螺纹钢（Φ20mm，HRB400E）,吨,3291.1,-48.4,-1.4
线材（Φ8—10mm，HPB300）,吨,3459.7,-53.0,-1.5
普通中板（20mm，Q235）,吨,3471.4,-12.5,-0.4
热轧普通板卷（4.75—11.5mm，Q235）,吨,3403.5,-19.0,-0.6
无缝钢管（219*6，20#）,吨,4245.6,-12.0,-0.3
角钢（5#）,吨,3622.3,-22.2,-0.6
二、有色金属,,,,
电解铜（1#）,吨,77650.8,640.8,0.8
铝锭（A00）,吨,20693.3,125.3,0.6
铅锭（1#）,吨,17066.7,166.7,1.0
锌锭（0#）,吨,23815.0,89.0,0.4
三、化工产品,,,,
硫酸（98%）,吨,562.3,75.2,15.4
烧碱（液碱，32%）,吨,991.3,4.8,0.5
甲醇（优等品）,吨,2447.5,60.9,2.6
纯苯（石油苯，工业级）,吨,7262.8,-324.2,-4.3
苯乙烯（一级品）,吨,8329.4,-194.3,-2.3
聚乙烯（LLDPE，熔融指数2薄膜料）,吨,8298.3,-22.4,-0.3
聚丙烯（拉丝料）,吨,7350.0,-15.3,-0.2
聚氯乙烯（SG5）,吨,5036.8,-53.2,-1.0
顺丁胶（BR9000）,吨,13750.0,-106.7,-0.8
涤纶长丝（POY150D/48F）,吨,7195.8,-19.2,-0.3
四、石油天然气,,,,
液化天然气（LNG）,吨,4583.6,111.4,2.5
液化石油气（LPG）,吨,4834.4,9.7,0.2
汽油（95#国VI）,吨,8922.9,-174.4,-1.9
汽油（92#国VI）,吨,8636.5,-164.7,-1.9
柴油（0#国VI）,吨,7309.3,-44.9,-0.6
石蜡（58#半）,吨,8438.3,50.8,0.6
五、煤炭,,,,
无烟煤（洗中块）,吨,925.0,-25.0,-2.6
普通混煤（4500大卡）,吨,527.4,-21.1,-3.8
山西大混（5000大卡）,吨,603.4,-26.6,-4.2
山西优混（5500大卡）,吨,694.6,-27.6,-3.8
大同混煤（5800大卡）,吨,732.6,-29.1,-3.8
焦煤（主焦煤）,吨,1260.0,-40.0,-3.1
焦炭（准一级冶金焦）,吨,1318.7,-20.0,-1.5
六、非金属建材,,,,
普通硅酸盐水泥（P.O 42.5袋装）,吨,384.5,-0.8,-0.2
普通硅酸盐水泥（P.O 42.5散装）,吨,343.5,5.3,1.6
浮法平板玻璃（4.8/5mm）,吨,1349.6,-33.8,-2.4
七、农产品（主要用于加工）,,,,
稻米（粳稻米）,吨,3916.7,3.3,0.1
小麦（国标三等）,吨,2400.2,1.6,0.1
玉米（黄玉米二等）,吨,2146.5,29.3,1.4
棉花（皮棉，白棉三级）,吨,14233.8,-235.7,-1.6
生猪（外三元）,千克,14.8,0.0,0.0
大豆（黄豆）,吨,4086.7,34.4,0.8
豆粕（粗蛋白含量≥43%）,吨,3635.6,-81.2,-2.2
花生（油料花生米）,吨,7550.0,0.0,0.0
八、农业生产资料,,,,
尿素（中小颗粒）,吨,1835.7,-14.7,-0.8
复合肥（硫酸钾复合肥，氮磷钾含量45%）,吨,3134.1,106.8,3.5
农药（草甘膦，95%原药）,吨,23250.0,-40.0,-0.2
九、林产品,,,,
天然橡胶（标准胶SCRWF）,吨,16940.3,-279.7,-1.6
纸浆（进口针叶浆）,吨,6448.7,-70.1,-1.1
瓦楞纸（AA级120g）,吨,2763.2,-33.1,-1.2
注：上期为2025年2月下旬。,注：上期为2025年2月下旬。,注：上期为2025年2月下旬。,注：上期为2025年2月下旬。,注：上期为2025年2月下旬。
