0,1,2,3,4
指　标,3月,3月,1—3月,1—3月
指　标,绝对量 （亿元）,同比增长（%）,绝对量 （亿元）,同比增长（%）
社会消费品零售总额,40940,5.9,124671,4.6
其中：除汽车以外的消费品零售额,36610,6.0,113434,5.1
其中：限额以上单位消费品零售额,17239,8.5,49216,5.7
其中：实物商品网上零售额,-,-,29948,5.7
按经营地分,,,,
城镇,35595,6.0,108057,4.5
乡村,5345,5.3,16614,4.9
按消费类型分,,,,
餐饮收入,4235,5.6,14027,4.7
其中：限额以上单位餐饮收入,1340,6.8,3969,4.7
商品零售额,36705,5.9,110644,4.6
其中：限额以上单位商品零售额,15899,8.6,45247,5.8
其中：粮油、食品类,1979,13.8,6210,12.2
饮料类,256,4.4,793,-0.5
烟酒类,515,8.5,1879,6.3
服装、鞋帽、针纺织品类,1240,3.6,3869,3.4
化妆品类,428,1.1,1149,3.2
金银珠宝类,325,10.6,1080,6.9
日用品类,741,8.8,2129,6.8
体育、娱乐用品类,151,26.2,399,25.4
家用电器和音像器材类,1001,35.1,2542,19.3
中西药品类,650,1.4,1827,2.1
文化办公用品类,421,21.5,1101,21.7
家具类,168,29.5,429,18.1
通讯器材类,765,28.6,2367,26.9
石油及制品类,2073,-1.9,6082,-0.1
汽车类,4330,5.5,11237,-0.8
建筑及装潢材料类,151,-0.1,395,0.0
注：此表数据均为未扣除价格因素的名义增速。,注：此表数据均为未扣除价格因素的名义增速。,注：此表数据均为未扣除价格因素的名义增速。,注：此表数据均为未扣除价格因素的名义增速。,注：此表数据均为未扣除价格因素的名义增速。
