0,1,2,3,4,5,6,7,8,9
城市,90m2及以下,90m2及以下,90m2及以下,90-144m2,90-144m2,90-144m2,144m2以上,144m2以上,144m2以上
城市,环比,同比,1-5月 平均,环比,同比,1-5月 平均,环比,同比,1-5月 平均
城市,上月 =100,上年同月 =100,上年同期 =100,上月 =100,上年同月 =100,上年同期 =100,上月 =100,上年同月 =100,上年同期 =100
北 京,99.7,95.8,94.1,99.6,95.0,94.9,99.6,96.0,95.1
天 津,99.3,97.8,97.1,99.4,98.1,98.0,99.9,98.0,97.8
石 家 庄,99.4,97.0,96.4,99.8,97.0,96.7,99.6,95.7,95.3
太 原,99.8,102.0,101.9,99.9,100.6,100.8,100.1,101.1,101.2
呼和浩特,99.8,95.2,95.0,99.6,93.9,93.8,99.8,94.3,94.0
沈 阳,100.2,97.4,96.6,100.1,98.1,97.6,101.1,98.2,97.0
大 连,99.9,98.1,97.0,99.6,95.1,94.5,99.2,95.1,94.3
长 春,99.2,96.3,96.3,99.0,94.6,95.4,99.9,96.6,96.3
哈 尔 滨,99.9,94.0,93.4,99.8,96.0,95.2,100.0,94.0,94.0
上 海,100.7,105.3,105.4,100.5,105.1,104.9,100.8,107.3,107.0
南 京,99.8,97.8,96.7,99.8,99.5,97.5,99.9,99.3,97.7
杭 州,100.7,100.3,98.7,101.0,102.2,100.0,100.6,100.9,99.4
宁 波,99.9,98.3,96.2,99.9,97.7,95.2,100.0,95.7,93.0
合 肥,100.3,96.4,94.6,100.2,96.7,95.5,100.2,96.2,95.1
福 州,99.7,94.5,93.3,99.7,94.4,93.4,99.9,94.4,92.9
厦 门,100.4,96.8,94.1,100.0,96.8,94.6,100.1,94.4,92.6
南 昌,99.7,95.6,95.3,99.0,95.1,95.1,98.9,95.0,95.4
济 南,99.9,94.1,92.5,99.6,95.2,94.8,99.9,96.0,95.2
青 岛,99.9,97.2,95.8,100.1,96.9,95.4,99.9,98.3,97.2
郑 州,99.2,94.6,93.9,99.6,96.5,95.4,99.4,97.1,96.9
武 汉,99.6,96.3,94.4,99.2,95.8,94.3,99.5,95.4,94.3
长 沙,100.0,96.7,94.1,100.3,96.4,94.8,100.3,95.4,93.7
广 州,99.0,94.4,92.9,99.3,94.1,92.6,98.8,94.4,94.3
深 圳,99.8,97.9,96.3,99.4,97.3,96.3,100.0,97.3,95.8
南 宁,100.2,97.6,95.3,100.5,97.2,94.6,100.0,97.5,95.4
海 口,98.8,96.2,96.8,99.4,95.5,95.8,99.1,96.0,96.3
重 庆,99.7,96.7,95.3,99.3,96.9,95.5,99.6,96.7,95.0
成 都,100.3,98.6,97.6,100.3,99.3,98.0,99.8,98.8,97.2
贵 阳,99.5,94.6,94.4,99.8,95.5,95.3,99.3,96.4,96.2
昆 明,99.3,93.4,92.5,99.5,93.2,92.2,99.6,93.1,92.2
西 安,99.5,97.1,97.9,99.6,97.0,97.9,99.7,97.0,97.8
兰 州,99.9,92.2,92.7,99.8,93.2,92.8,99.9,91.7,91.3
西 宁,99.9,95.6,95.1,100.0,94.9,94.6,100.1,94.7,94.4
银 川,99.6,97.6,97.6,99.7,96.3,95.8,99.9,96.2,95.3
乌鲁木齐,100.3,97.7,96.5,100.5,98.9,97.8,100.0,97.8,96.8
