序号,监测产品,规格型号,说明
,一、黑色金属,,
1.0,螺纹钢,Φ20mm，HRB400E,屈服强度≥400MPa
2.0,线材,Φ8-10mm，HPB300,屈服强度≥300MPa
3.0,普通中板,20mm，Q235,屈服强度≥235MPa
4.0,热轧普通板卷,4.75-11.5mm，Q235,屈服强度≥235MPa，宽度1500mm
5.0,无缝钢管,219*6，20#,20#钢材，屈服强度≥245MPa
6.0,角钢,5#,屈服强度≥235MPa
,二、有色金属,,
7.0,电解铜,1#,铜与银质量分数≥99.95%
8.0,铝锭,A00,铝质量分数≥99.7%
9.0,铅锭,1#,铅质量分数≥99.994%
10.0,锌锭,0#,锌质量分数≥99.995%
,三、化工产品,,
11.0,硫酸,98%,H2SO4质量分数≥98%
12.0,烧碱（液碱）,32%,NaOH质量分数≥32%的离子膜碱
13.0,甲醇,优等品,水质量含量≤0.10%
14.0,纯苯（石油苯）,工业级,苯纯度≥99.8%
15.0,苯乙烯,一级品,纯度≥99.5%
16.0,聚乙烯（LLDPE）,熔融指数2薄膜料,熔融指数：2.0±0.5g/10min
17.0,聚丙烯,拉丝料,熔融指数：3.0±0.9g/10min
18.0,聚氯乙烯,SG5,K值：66-68
19.0,顺丁胶,BR9000,块状、乳白色，灰分≤0.20%
20.0,涤纶长丝,POY150D/48F,半光167分特，AA级
,四、石油天然气,,
21.0,液化天然气,LNG,甲烷含量≥75%，密度≥430kg/m3
22.0,液化石油气,LPG,饱和蒸汽压1380-1430kPa
23.0,汽油,95#国VI,国VI标准
24.0,汽油,92#国VI,国VI标准
25.0,柴油,0#国VI,国VI标准
26.0,石蜡,58#半,熔点不低于58℃
,五、煤炭,,
27.0,无烟煤,洗中块,挥发分≤8%
28.0,普通混煤,4500大卡,山西粉煤与块煤的混合煤，热值4500大卡
29.0,山西大混,5000大卡,质量较好的混煤，热值5000大卡
30.0,山西优混,5500大卡,优质的混煤，热值5500大卡
31.0,大同混煤,5800大卡,大同产混煤，热值5800大卡
32.0,焦煤,主焦煤,含硫量<1%
33.0,焦炭,准一级冶金焦,12.01%≤灰分≤13.50%
,六、非金属建材,,
34.0,普通硅酸盐水泥,P.O 42.5袋装,抗压强度42.5MPa
35.0,普通硅酸盐水泥,P.O 42.5散装,抗压强度42.5MPa
36.0,浮法平板玻璃,4.8/5mm,厚度为4.8/5mm的无色透明玻璃
,七、农产品（主要用于加工）,,
37.0,稻米,粳稻米,杂质≤0.25%，水分≤15.5%
38.0,小麦,国标三等,杂质≤1.0%，水分≤12.5%
39.0,玉米,黄玉米二等,杂质≤1.0%，水分≤14.0%
40.0,棉花（皮棉）,白棉三级,纤维长度≥28mm，白或乳白色
41.0,生猪,外三元,三种外国猪杂交的肉食猪
42.0,大豆,黄豆,杂质≤1.0%，水分≤13.0%
43.0,豆粕,粗蛋白含量≥43%,粗蛋白≥43%，水分≤13.0%
44.0,花生,油料花生米,杂质≤1.0%，水分≤9.0%
,八、农业生产资料,,
45.0,尿素,中小颗粒,总氮≥46%，水分≤1.0%
46.0,复合肥,硫酸钾复合肥,氮磷钾含量45%
47.0,农药（草甘膦）,95%原药,草甘膦质量分数≥95%
,九、林产品,,
48.0,天然橡胶,标准胶SCRWF,杂质含量≤0.05%，灰分≤0.5%
49.0,纸浆,进口针叶浆,抗张指数≥85.0N·m/g， 耐破指数≥6.5KPa·m2/g， 撕裂指数≥9.0mN·m2/g
50.0,瓦楞纸,AA级120g,120±5g/m2
