0,1,2,3,4,5,6,7,8
单位：%,单位：%,单位：%,单位：%,单位：%,单位：%,单位：%,单位：%,单位：%
,新出口 订单,进口,采购量,主要原材料 购进价格,出厂 价格,产成品 库存,在手 订单,生产经营 活动预期
2024年6月,48.3,46.9,48.1,51.7,47.9,48.3,45.0,54.4
2024年7月,48.5,47.0,48.8,49.9,46.3,47.8,45.3,53.1
2024年8月,48.7,46.8,47.8,43.2,42.0,48.5,44.7,52.0
2024年9月,47.5,46.1,47.6,45.1,44.0,48.4,44.0,52.0
2024年10月,47.3,47.0,49.3,53.4,49.9,46.9,45.4,54.0
2024年11月,48.1,47.3,51.0,49.8,47.7,47.4,45.6,54.7
2024年12月,48.3,49.3,51.5,48.2,46.7,47.9,45.9,53.3
2025年1月,46.4,48.1,49.2,49.5,47.4,46.5,45.6,55.3
2025年2月,48.6,49.5,52.1,50.8,48.5,48.3,46.0,54.5
2025年3月,49.0,47.5,51.8,49.8,47.9,48.0,45.6,53.8
2025年4月,44.7,43.4,46.3,47.0,44.8,47.3,43.2,52.1
2025年5月,47.5,47.1,47.6,46.9,44.7,46.5,44.8,52.5
2025年6月,47.7,47.8,50.2,48.4,46.2,48.1,45.2,52.0
