时间,上海,北京,广州,深圳,杭州,南京,武汉,西安,天津,成都,重庆
201712,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
201801,99.6,100.2,99.6,100.0,100.0,99.7,100.4,100.6,100.5,100.2,100.3
201802,99.4008,99.8994,99.20159999999998,99.4,99.9,99.6003,100.2996,101.103,100.6005,100.2,100.6009
201803,99.5996016,99.9992994,99.4000032,99.30060000000002,100.1997,99.3014991,100.0990008,102.012927,100.6005,100.4004,101.3051063
201804,99.5000019984,100.1992979988,99.30060319679998,99.39990060000002,100.2998997,99.1028961018,99.8988027984,103.645133832,100.7011005,100.7016012,102.4194624693
201805,99.3010019944032,100.3996965947976,101.08801405434238,99.30050069940005,100.2998997,98.9046903095964,100.9976896291824,105.303455973312,101.2046060025,102.8163348252,103.34123763152373
201806,99.3010019944032,100.3996965947976,103.0086863213749,99.59840220149825,100.9016990982,98.70688092897718,102.2096619047326,106.46179398901842,101.50821982050748,104.4613961824032,105.20137990889114
201807,99.2017009924088,100.60049598798716,103.62673843930314,100.09639421250571,101.7089126909856,98.60817404804824,103.33396818568464,107.73933551688664,101.50821982050748,105.50601014422722,106.56899784770673
201808,99.3009026934012,100.60049598798716,104.55937908525688,100.59687618356826,102.31916616713151,98.60817404804824,104.78064374028423,110.97151558239324,101.71123626014852,106.66657625581372,107.6346878261838
201809,99.2016017907078,100.60049598798716,104.97761660159792,100.39568243120112,102.52380449946578,99.00260674424042,105.09498567150509,117.85174954850164,102.01636996892896,107.4132422896044,108.8186693922718
201810,99.30080339249852,100.80169697996314,105.1875718348011,99.8937040190451,103.7540901534594,99.20061195772892,107.72236031329273,119.38382229263216,102.11838633889788,109.23926740852768,109.68921874740998
201811,99.797307409461,101.40650716184292,105.1875718348011,99.693916611007,104.4803687845336,100.68862113709486,109.4459180783054,121.055195804729,101.81203117988116,111.20557422188116,110.89580015363148
201812,100.39609125391776,102.42057223346131,108.34319898984512,100.09269227745104,105.62965284116346,100.58793251595776,110.86871501332335,122.38680295858104,101.91384321106104,112.6512466867656,111.78296655486054
