时间,北京,唐山,天津,秦皇岛,石家庄,包头,太原,丹东,呼和浩特,锦州,沈阳,吉林,大连,牡丹江,长春,无锡,哈尔滨,扬州,上海,徐州,南京,温州,杭州,金华,宁波,蚌埠,合肥,安庆,福州,泉州,厦门,九江,南昌,赣州,济南,烟台,青岛,济宁,郑州,洛阳,武汉,平顶山,长沙,宜昌,广州,襄阳,深圳,岳阳,南宁,常德,海口,惠州,重庆,湛江,成都,韶关,贵阳,桂林,昆明,北海,西安,三亚,兰州,泸州,西宁,南充,银川,遵义,乌鲁木齐,大理
201801,100.2,100.7,100.5,100.8,100.1,100.8,100.5,100.1,100.1,100.4,100.9,100.5,101.6,100.3,100.7,99.7,100.1,100.9,99.6,100.6,99.7,100.4,100.0,100.2,100.7,99.9,99.9,100.5,100.0,99.7,99.7,100.5,99.9,100.2,100.5,101.0,100.1,100.2,99.7,100.5,100.4,100.6,100.4,100.9,99.6,101.2,100.0,100.0,100.1,100.3,100.4,100.0,100.3,100.1,100.2,99.5,101.0,99.8,101.4,99.7,100.6,100.9,100.4,100.8,100.2,100.3,100.4,101.1,100.4,100.7
201802,99.7,100.2,100.1,100.6,100.1,100.4,100.0,99.8,100.5,100.8,100.3,100.3,101.0,100.2,100.0,99.6,100.7,100.5,99.8,101.0,99.9,100.0,99.9,100.0,100.2,100.0,99.7,100.3,99.9,100.1,99.9,100.4,99.8,100.0,99.9,100.3,100.0,100.4,100.0,100.0,99.9,100.5,100.2,100.6,99.6,99.8,99.4,100.4,100.3,99.8,100.2,100.4,100.3,100.1,100.0,100.3,100.4,100.1,100.3,100.4,100.5,101.0,100.5,100.4,100.7,101.7,100.5,100.6,101.3,100.9
201803,100.1,100.8,100.0,101.4,100.7,100.6,100.6,100.4,100.5,100.9,100.5,100.3,100.7,100.5,101.0,99.9,100.9,100.6,100.2,100.7,99.7,99.9,100.3,100.3,100.3,99.7,100.0,100.0,99.6,100.1,99.8,100.5,100.6,100.2,100.2,100.4,100.4,100.4,99.9,100.4,99.8,100.1,100.3,100.9,100.2,100.2,99.9,100.7,100.5,100.0,102.1,99.9,100.7,100.3,100.2,100.6,100.7,100.6,100.8,100.8,100.9,100.7,100.4,100.3,100.0,100.6,100.8,100.9,100.8,100.9
201804,100.2,100.7,100.1,100.7,100.3,100.6,101.4,102.0,101.0,100.7,100.8,100.6,101.1,100.8,100.9,99.8,101.3,100.9,99.9,100.8,99.8,99.9,100.1,101.3,101.1,100.0,99.8,99.7,99.9,100.0,100.3,100.2,100.3,100.2,100.1,101.2,100.1,100.6,100.5,100.7,99.8,101.2,100.2,100.3,99.9,100.6,100.1,100.2,100.2,100.5,101.9,100.1,101.1,100.2,100.3,100.4,101.3,100.7,100.7,100.8,101.6,101.9,100.5,100.4,99.8,101.0,100.6,100.8,101.1,101.2
201805,100.2,100.3,100.5,100.6,101.2,100.8,100.7,105.3,101.6,100.3,101.7,100.4,101.7,100.0,101.3,99.9,101.2,100.6,99.8,101.3,99.8,100.1,100.0,100.6,100.5,100.2,100.2,99.9,98.9,99.9,101.1,100.8,100.7,100.4,100.4,100.8,102.0,100.8,101.6,100.4,101.1,100.8,101.6,100.8,101.8,100.1,99.9,101.0,100.3,100.7,102.1,100.3,100.9,100.1,102.1,100.5,100.6,100.6,100.9,101.1,101.6,102.4,100.7,100.7,100.1,101.4,100.4,100.7,101.2,100.8
201806,100.0,101.2,100.3,101.1,100.3,101.0,100.6,103.3,101.1,100.5,101.4,101.3,101.8,102.1,101.6,99.9,101.4,100.5,100.0,100.6,99.8,100.4,100.6,100.3,100.3,99.7,100.1,101.1,102.2,100.4,100.0,100.6,101.6,100.6,103.6,100.9,102.4,101.3,101.8,100.2,101.2,99.7,102.0,101.4,101.9,100.7,100.3,100.7,102.0,100.5,103.9,100.5,101.8,100.4,101.6,100.7,101.2,100.7,101.9,101.3,101.1,103.2,101.3,101.3,102.7,101.2,101.4,100.9,100.9,101.2
201807,100.2,101.7,100.0,100.9,102.0,101.8,101.2,100.5,102.4,100.5,101.4,101.6,101.0,101.4,100.9,101.5,102.2,102.8,99.9,102.3,99.9,100.2,100.8,101.2,100.9,102.1,100.6,100.5,101.3,99.9,100.0,101.1,101.8,100.5,103.0,102.9,102.0,101.4,101.3,101.1,101.1,100.8,102.7,102.9,100.6,102.3,100.5,100.8,100.8,100.1,102.3,100.4,101.3,101.0,101.0,100.4,101.8,100.5,102.9,100.4,101.2,103.7,100.7,100.5,100.4,100.8,101.0,101.0,100.2,101.6
201808,100.0,102.9,100.2,102.8,100.9,102.5,101.9,100.4,102.9,100.6,101.1,102.3,101.0,101.3,100.8,103.4,100.9,101.2,100.1,103.3,100.0,100.7,100.6,101.1,102.0,101.8,101.6,101.9,102.2,100.9,99.9,101.5,101.4,102.0,102.8,101.2,101.6,101.7,101.5,100.7,101.4,100.7,102.0,101.2,100.9,102.9,100.5,102.3,101.7,102.7,100.9,100.7,101.0,101.9,101.1,101.4,101.8,100.6,101.5,103.1,103.0,100.1,101.2,101.8,101.5,102.6,101.7,101.5,101.4,101.9
201809,100.0,101.4,100.3,101.9,101.1,100.5,101.0,101.0,102.8,101.9,101.3,101.1,100.6,101.5,100.2,100.5,101.3,101.4,99.9,101.2,100.4,100.2,100.2,99.9,100.3,101.8,100.9,101.6,101.1,100.0,100.0,100.7,100.8,101.1,101.3,100.7,100.4,100.6,100.4,101.8,100.3,101.4,100.6,101.3,100.4,100.6,99.8,101.2,100.4,101.4,100.3,100.4,101.1,100.8,100.7,100.6,102.1,101.0,102.0,100.8,106.2,100.2,101.2,102.6,102.1,101.8,100.9,101.1,100.4,101.5
201810,100.2,101.2,100.1,102.1,103.3,101.4,100.5,100.4,101.6,101.4,101.5,101.5,100.7,101.7,100.9,100.4,102.0,101.2,100.1,101.9,100.2,99.9,101.2,100.1,100.0,100.6,100.6,102.2,101.0,100.2,99.9,100.6,100.4,100.6,100.7,101.2,100.6,101.9,101.0,101.4,102.5,100.3,100.1,100.3,100.2,102.5,99.5,100.7,100.3,102.1,100.6,100.6,100.8,101.5,101.7,100.4,104.2,100.7,101.4,101.2,101.3,99.9,101.7,101.6,101.0,101.6,100.2,101.9,100.3,102.1
