时间,北京,唐山,天津,秦皇岛,石家庄,包头,太原,丹东,呼和浩特,锦州,沈阳,吉林,大连,牡丹江,长春,无锡,哈尔滨,扬州,上海,徐州,南京,温州,杭州,金华,宁波,蚌埠,合肥,安庆,福州,泉州,厦门,九江,南昌,赣州,济南,烟台,青岛,济宁,郑州,洛阳,武汉,平顶山,长沙,宜昌,广州,襄阳,深圳,岳阳,南宁,常德,海口,惠州,重庆,湛江,成都,韶关,贵阳,桂林,昆明,北海,西安,三亚,兰州,泸州,西宁,南充,银川,遵义,乌鲁木齐,大理
202112,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
202201,116.81351378681576,140.41939850612528,106.67419670357005,130.17558549323226,126.47781556988782,121.14778409907352,112.07456607217611,136.0610825137427,145.73251822751826,135.40922110453073,132.7751498403783,132.37062991690502,135.56891163587952,114.88261128215113,127.4751620214699,127.5453350381446,123.16529973622072,139.65240776067697,112.71383664377596,151.01929776048576,114.93857765626234,115.53628248183345,122.89784197405689,123.37479170250447,124.35866395188864,118.53312191555351,116.34366584813368,108.22756344187206,122.95658546753371,114.50087339125021,111.8930418689463,124.60769375667199,115.3943058003207,118.21639312701544,121.4896646090176,133.16252612954736,126.42745638597745,139.81930118894692,112.42028645858991,132.72382871354867,135.1498106992983,123.01226369269374,131.8433086074967,119.5722293037948,125.8923894932179,131.65183032629648,112.36050585788239,104.73032663942057,132.08635796179612,109.9442783194033,135.7385662765875,116.90888468562761,138.03257179610438,111.52091424256665,137.18818173299573,105.05611857312188,130.53294954941043,117.34958442227095,136.30075013117965,114.75251612745218,158.99210867437648,136.02066454356645,125.48376033230505,106.69235527385159,143.2451671675932,112.7919651943061,152.41604129383987,118.27962814024018,118.5424792464645,132.347475598584
202202,117.51439486953664,140.41939850612528,106.7808709002736,129.9152343222458,126.47781556988782,120.78434074677631,111.6262678078874,135.5168381836877,145.44105319106322,134.59676577790356,131.97849894133603,132.63537117673883,135.026635989336,114.19331561445823,127.09273653540549,128.18306171333532,122.05681203859473,139.09379812963425,113.27740582699484,150.86827846272527,115.74314769985618,114.61199222197878,123.38943334195312,123.49816649420696,125.22917459955187,118.65165503746907,115.52926018719674,107.57819806122085,123.32545522393632,114.95887688481521,111.33357665960156,124.1092629816453,115.85588302352198,118.57104230639648,121.6111542736266,133.29568865567688,126.42745638597745,138.98038538181325,112.19544588567273,132.19293339869446,134.47406164580184,122.15117784684487,132.1069952247117,119.09394038657962,126.6477438301772,130.993571174665,112.80994788131393,103.89248402630521,131.55801252994894,109.17466837116746,135.33135057775775,117.37652022437013,138.860767226881,111.96699789953692,138.1484990051267,104.74095021740251,130.01081775121278,117.1148852534264,136.98225388183556,112.34271328877568,160.58202976112025,135.74862321447932,125.10730905130815,106.15889349748232,142.09920583025246,111.77683750755733,152.26362525254603,118.63446702466089,119.37227660118975,131.5533907449925
202203,117.98445244901481,140.41939850612528,106.99443264207416,128.87591244766784,126.85724901659749,120.05963470229567,111.40301527227162,134.4327034782182,145.29561213787215,135.13515284101516,131.45058494557068,132.63537117673883,134.08144953741063,113.85073566761486,127.09273653540549,128.43942783676198,121.20241435432456,138.67651673524534,113.61723804447581,150.56654190579982,115.9746339952559,113.80970827642494,124.2531593753468,123.99215916018379,125.35440377415142,118.88895834754402,115.06714314644795,106.93272887285353,122.58550249259271,114.49904137727596,110.99957592962275,123.98515371866365,116.31930655561608,118.80818439100928,121.97598773644748,133.02909727836553,126.93316621152137,138.424463840286,111.410077764473,131.531968731701,133.93616539921862,121.78472431330434,132.63542320561058,118.97484644619304,126.52109608634704,131.25555831701433,113.71242746436445,103.06134415409477,131.42645451741902,109.28384303953862,136.00800733064654,116.78963762324827,139.5550710630154,110.95929491844109,139.2536869971677,105.36939591870693,130.2708393867152,116.41219594190585,136.57130712019006,111.7809997223318,161.22435788016475,135.61287459126484,124.60687981510291,105.7342579234924,141.6729082127617,111.8886143450649,152.8726797535562,119.10900489275954,120.56599936720166,131.02717718201254
202204,118.81034361615792,140.5598179046314,106.88743820943209,128.48928471032485,127.1109635146307,119.2192172593796,110.73459718063799,133.22280914691422,144.56913407718278,133.10812554839993,131.18768377567955,132.63537117673883,133.94736808787323,113.85073566761486,127.09273653540549,128.31098840892523,120.35399745384427,137.2897515678929,113.61723804447581,149.81370919627082,115.39476082527963,112.89923061021355,124.99867833159888,124.36413563766433,124.97834056282896,117.46229084737348,114.9520760033015,106.39806522848927,121.84998947763715,114.2700432945214,110.44457804997464,123.73718341122633,116.90090308839416,118.92699257540028,121.73203576097458,132.49698088925206,127.06009937773288,138.70131276796658,111.07584753117959,130.6112449505791,132.8646760760249,121.66293958899105,133.0333294752274,118.73689675330064,126.6476171824334,129.68049161721015,113.5987150369001,101.72154668009154,131.68930742645387,108.19100460914323,136.55203935996914,116.32247907275527,138.99685077876333,109.6277833794198,140.36771649314502,104.31570195951987,131.31300610180892,115.83013496219631,136.43473581306986,109.9925037267745,161.5468065959251,135.07042309289977,123.7346316563972,104.99411811802794,141.6729082127617,110.99350543030438,153.02555243330977,118.87078688297403,121.28939536340485,130.10998694173844
202205,119.28558499062255,140.84093754044065,106.35300101838493,128.7462632797455,126.72963062408681,118.62312117308271,110.40239338909609,133.22280914691422,144.71370321125997,133.64055805059354,131.05649609190388,131.8395589496784,133.67947335169748,114.1922878746177,126.83855106233469,128.05436643210737,119.87258146402888,136.32872330691762,113.61723804447581,150.11333661466335,114.70239226032795,112.33473445716248,125.49867304492528,124.23977150202667,124.60340554114048,116.99244168398398,115.0670280793048,105.86607490234682,121.60628949868187,113.47015299145974,110.00279973777474,123.36597186099264,117.01780399148254,119.16484656055108,122.34069593977945,131.70199900391654,127.31421957648836,138.84001408073453,110.96477168364841,129.69696623592506,131.8017586674167,121.41961370981306,133.29939613417784,118.85563365005393,127.28085526834556,129.0320891591241,114.1667086120846,101.21293894669108,131.95268604130678,107.54185858148838,137.234799556769,115.97351163553702,138.7188570772058,108.20262219548735,141.63102594158335,104.42001766147938,131.05038008960528,115.71430482723412,135.7525621340045,109.11256369696031,162.03144701571284,134.80028224671398,123.36342776142801,104.15416517308373,140.11450622242134,109.66158336514073,153.33160353817638,118.27643294855916,122.13842113094869,129.71965698091321
202206,120.23986967054752,139.85505097765756,106.14029501634815,127.45880064694806,126.47617136283863,118.14862868839036,110.51279578248517,133.22280914691422,144.13484839841493,133.90783916669474,131.18755258799578,131.97139850862808,133.27843493164238,114.53486473824155,125.95068120489833,128.3104751649716,119.15334597524472,135.91973713699687,114.18532423469819,150.86390329773667,115.16120182936928,111.66072605041951,126.75365977537454,123.86705218752058,124.7280089466816,117.22642656735195,115.64236321970132,105.44261060273742,121.97110836717792,112.78933207351099,110.55281373646362,122.87250797354868,116.31569716753366,119.6415059467933,122.70771802759879,131.96540300192436,128.07810489394728,138.2846540244116,110.7428421402811,129.3078753372173,131.27455163274703,121.29819409610326,133.83259371871455,117.07279914530312,127.6626978341506,128.77402498080585,114.39504202930877,99.59353192354403,132.08463872734808,107.3267748643254,136.96032995765546,116.2054586588081,139.27373250551463,107.44520384011894,143.47222927882393,103.89791757317198,130.78827932942608,115.59859052240688,135.48105700973647,108.0214380599907,162.51754135675998,134.26108111772712,122.74661062262086,103.63339434721831,140.67496424731104,109.44226019841044,153.48493514171454,118.86781511330194,121.89414428868679,128.42246041110408
202207,120.84106901890026,140.13476107961287,105.50345324625006,126.69404784306639,126.09674284875011,118.03048005970197,110.07074459935522,132.1570266737389,144.56725294361016,133.64002348836135,130.66280237764377,130.6516845235418,133.14515649671074,114.76393446771804,125.57282916128365,127.79723326431169,118.91503928329422,137.00709503409283,114.75625085587167,151.0147672010344,115.50668543485737,110.87910096806658,127.64093539380218,123.3715839787705,124.47855292878823,116.6402944345152,116.45185976223924,104.38818449671004,122.45899280064663,112.22538541314343,110.11060248151776,123.36399800544288,117.24622274487392,119.76114745274009,123.19854889970918,131.43754138991665,127.82194868415938,137.86980006233836,111.07507066670195,129.4371832125545,131.01200252948155,121.41949229019936,133.96642631243324,116.60450794872192,128.04568592765304,128.64525095582505,114.16625194525015,99.09556426392632,130.7637923400746,106.46816066541079,137.37121094752843,116.43786957612572,139.8308274355367,106.80053261707822,144.90695157161218,104.10571340831834,130.3959144914378,115.02059756979484,134.8036517246878,106.61715936521082,163.49264660490053,134.6638643610803,122.01013095888514,103.42612755852387,140.81563921155833,109.66114471880726,154.2523598174231,118.51121166796203,121.65035600010941,127.39508072781526
202208,121.32443329497586,139.2939525131352,105.08143943326506,126.06057760385106,125.46625913450636,117.32229717934376,109.52039087635845,131.62839856704394,143.12158041417405,133.23910341789627,129.61749995862263,129.737122731877,132.87886618371732,114.87869840218576,125.82397481960624,128.30842219736894,118.32046408687775,136.59607374899053,115.44478836100689,150.41070813223024,115.96871217659682,110.4355845641943,128.1514991353774,122.87809764285541,124.8519885875746,116.5236541400807,116.80121534152595,103.97063175872319,121.8466978366434,111.103131559012,109.44993886662866,123.11727000943199,117.36346896761879,119.28210286292911,123.4449459975086,131.56897893130656,128.20541453021187,136.76684166183966,110.63077038403513,129.04887166291684,129.30884649659828,120.93381432103855,134.36832559137054,116.37129893282446,127.78959455579772,128.13066995200174,113.70958693746914,98.60008644260668,129.84844579369405,105.82935170141833,137.64595336942347,116.20499383697346,138.2926883337458,105.51892622567328,145.48657937789864,104.31392483513498,130.26551857694636,114.21545338680627,134.26443711778904,105.12451913409787,163.65613925150544,134.6638643610803,120.79002964929629,102.90899692073125,140.2523766547121,109.00317785049442,154.8693692566928,118.15567803295815,121.52870564410931,127.26768564708746
202209,121.5670821615658,138.73677670308265,104.87127655439852,125.17815356062411,125.08986035710285,116.50104109908835,108.86326853110032,130.97025657420872,143.26470199458822,132.83938610764258,129.22864745874676,128.95869999548574,132.21447185279874,114.76381970378357,124.94320699586899,127.79518850857944,117.37390037418272,135.91309338024558,115.6756779377289,150.260297424098,115.50483732789044,109.44166430311654,128.66410513191894,122.14082905699829,125.10169256474975,116.29060683180052,117.61882384891663,103.45077859992956,120.9937709517869,110.32540963809892,109.12158905002877,122.99415273942257,117.71555937452163,119.52066706865497,123.81528083550113,131.17427199451265,128.07720911568168,136.63007482017784,110.29887807288304,128.53267617626517,128.1450668781289,120.69194669239647,134.5026939169619,115.55669984029468,127.40622577213033,127.87440861209774,113.1410390027818,97.90988583750843,129.0693551189319,105.40603429461265,137.92124527616232,115.85637885546254,138.70756639874702,104.5692558896422,146.50498543354394,103.89666913579444,130.26551857694636,113.75859157325904,133.45885049508232,104.49377201929329,162.83785855524792,134.25987276799705,119.70291938245262,102.80608792381054,139.83161952474796,108.45816196124196,154.71449988743612,118.39198938902408,121.164119527177,127.77675638967581
